"ID";"Name";"LatinName";"Photo";"LandscapingZone";"ProsperityPeriod";"Description";"LocationPlace";"ViewForm";"global_id";
"Код";"Название";"Латинское название";"Фотография";"Ландшафтная зона";"Период цветения";"Описание";"Расположение в парке";"Форма осмотра";"global_id";
"1";"Ель обыкновенная";"Picea abies";"ba4bd41f-4301-421c-892b-f9b74da0b8de";"Хвойный лес";"Май
";"Ботаники выделяют 40 видов елей. Ель обыкновенная - самый распространённый в Европе, поэтому часто этот вид называют елью европейской. В средней полосе России это и вовсе единственный дикорастущий вид елей. Отличить его от других хвойных предельно просто: хвоинки елей растут не пучками, а поодиночке. Кроме того, еловая хвоя трехгранная, а лиственничная и сосновая - плоская.";"Хвойный лес";"Бесплатная";"881409012";
"2";"Сосна обыкновенная";"Pinus sylvestris";"102b0915-249e-4c3b-8912-9e484a56db27";"Хвойный лес";"Май - июнь
";"В средней полосе России исконно растёт лишь один вид сосны - сосна обыкновенная. Однако в культуре часто выращивают альпийские и сибирские виды. Отличить сосну обыкновенную можно по толстой растрескивающейся коре серо-буроватого цвета, а её хвоя растёт пучками по двое (а у кедра, который правильно называть сосной сибирской, - по пять). Высота, форма кроны, толщина ствола дерева сильно зависят от условий, но по этим признакам сосну можно узнать как на болоте, так и в парке.";"Хвойный лес";"Бесплатная";"881409317";
"3";"Дуб черешчатый";"Querqus robur";"b0fd9656-54e1-4169-8255-db196c3b44c6";"Смешанный лес";"Май - июнь
";"Дуб черешчатый считается визитной карточкой широколиственных лесов Европейской России, которых, к сожалению, почти не осталось. Своё название это дерево получило из-за длинной ножки, на которой развиваются женские цветки, а потом и жёлуди. У других дубов эта ножка (черешок) сильно короче. В городах можно часто встретить дубы с остроконечными лопастями листьев - это красные дубы, североамериканские родственники нашего";"Смешанный лес";"Бесплатная";"881409921";
"4";"Липа мелколистная";"Tilia cordata";"eadb690c-3c4c-4878-9b93-1cc032938807";"Смешанный лес";"Июль
";"В Европейской части России можно встретить четыре вида липы, из которых в средней полосе растёт лишь один - липа мелколистная. В широколиственных лесах она выступает как одна из основных лесообразующих пород, а при продвижении на север может расти как примесь к хвойным. На территориях, где средняя температура июля ниже 12о С, липа расти не может. В холодных регионах у неё не образуются семена.";"Смешанный лес";"Бесплатная";"881410524";
"5";"Клён остролистный";"Acer platanoides";"2f69ee78-ebd3-49d6-89dd-aedb96693589";"Смешанный лес";"Май
";"В России можно встретить около 20 разных видов клёна, большая часть которых растёт на Дальнем Востоке, в Европейской части России обитают лишь 4 вида. Самый распространённый и широко известный из них - это клён остролистный, который легко отличить от всех других. Клён сахарный, чей лист изображён на флаге Канады, самый похожий с виду на остролистный. Однако и их можно различить: сок клёна остролистного беловатый, а сахарного - прозрачный.";"Смешанный лес";"Бесплатная";"881411126";
"6";"Яблоня ягодная";"Malus baccata";"2e6955bb-2b32-48f4-a1aa-c20ecf14dfeb";"Городские посадки";"Май";"Яблоня ягодная в природе встречается в южной части Сибири и ряде азиатских стран: в Монголии, Китае, Корее, Индии, Бутане и Японии. Она встречается в горных лесах и способна расти на высотах до 1700 метров над уровнем моря. В отличие от яблони домашней, листья яблони ягодной более плотные и кожистые, а плоды размером с черешню.";"Городские посадки";"Бесплатная";"881461438";
"7";"Клён серебристый";"Acer saccharinum";"4210444d-d38c-4e58-bf9e-e4235ec3725b";"Городские посадки";"Июнь";"Клён серебристый родом из Северной Америки, и не очень похож на наши аборигенные виды. Как и наш клён остролистный, клён серебристый может вырастать до высоты десятиэтажного дома (около 30 м), однако друг от друга их легко отличить по листьям: у остролистного листья пятилопастные и крупные, а серебристого - трёхлопастные и чуть меньше. Самый близкий к серебристому вид клёна - клён красный, однако в России он не встречается.";"Городские посадки";"Бесплатная";"881461445";
"8";"Рябина обыкновенная";"Sorbus aucuparia";"fbb50d36-77fb-4d8c-a591-05c1c5dfe16a";"Смешанный лес, ельник";"Май - июнь";"Учёные выделяют более двухсот видов рябин, среди которых около тридцати встречаются на территории России. Но самый известный и широко распространённый из них - рябина обыкновенная. Этот вид на удивление выносливый: в лесах он способен выдерживать конкуренцию со стороны деревьев и расти как кустарник. А на открытых пространствах и в городских посадках рябина вырастает высоким деревом.";"Смешанный лес, ельник";"Бесплатная";"881461457";
"9";"Черемуха обыкновенная";"Padus avium";"a6ac8c97-5794-4f1d-9594-4399f92fce16";"Прибрежный лес";"Май - июнь";"Ареал черёмухи обыкновенной простирается от Северной Африки до Китая, проходя через всю Европу и Сибирь и охватывая множество природных зон. Растёт черемуха исключительно на богатых и хорошо увлажнённых почвах, поэтому чаще всего её можно встретить в речных долинах и широколиственных лесах. Цветущую черемуху легко узнать по резкому запаху, а отцветшую - по листьям: их жилки характерно загибаются у края листа в сторону его кончика.";"Прибрежный лес";"Бесплатная";"881461465";
"10";"Береза повислая";"Betula pendula";"e168eb50-b91a-45df-bbb7-18b88070d390";"Березовая роща";"Апрель - май";"Берёзу повислую вполне можно считать деревом-пионером. Именно она первой из деревьев поселяется на заброшенных полях, вырубках и гарях. Быстро осваивать освободившиеся ниши у неё получается благодаря мелким семенам с крыльями, которые образуются по нескольку десятков тысяч на одном дереве, далеко разносятся ветром и при случае прорастают. Берёза повислая распространена настолько широко, что сложно даже представить себе типичный среднерусский пейзаж без этого дерева.";"Березовая роща";"Бесплатная";"881461467";
"11";"Береза пушистая";"Betula pubescens";"88769644-fe26-48cd-9ebe-6f0d9e108d34";"Березовая роща";"Апрель - май
";"Берёза пушистая и берёза повислая - ближайшие родственники, которые очень похожи и к тому же часто скрещиваются меж собой, образуя гибридные формы. Однако отличить один вид от другого всё же просто - достаточно присмотреться к деталям. Основание листа берёзы пушистой похоже на сердечко, а у повислой - на клин. А своё название берёза пушистая получила за обильное опушение молодых веточек, которого нет у берёзы повислой.";"Березовая роща";"Бесплатная";"881461470";
"12";"Ива белая";"Salix alba";"283eb10b-1348-4381-a687-1179570291c9";"Прибрежный лес";"Апрель";"Ива белая - лишь один из более 500 видов рода ива. Несмотря на огромное разнообразие ив большинство из них можно встретить неподалёку от водоёмов. Ива белая тоже тяготеет к влажным местам: она особенно обычна по берегам рек. От других видов её легко отличить по характерному зелёно-беловатому цвету нижней стороны листа. Издалека ива белая выглядит будто посеребрённая.";"Прибрежный лес";"Бесплатная";"881461482";
"13";"Ива белая «Памяти Миндовского»";"Salix alba x blanda";"45dd0268-11a1-45c2-8b25-73cd6fcb575d";"Прибрежный лес";"Апрель
";"Ива белая «Памяти Миндовского» - одна из «декоративных культиваторов», как их сам называл автор, уральский селекционер Вениамин Иванович Шабуров. Она была получена от скрещивания в 1973 г. S. alba и S. blanda с последующим прививанием черенка к S. fragilis, и выделяется среди своих родственниц «сильной плакучестью» - её ветви свисают до самой земли. Трогательная поэтичность этого растения сочетается с редкой для высоких декоративных видов морозостойкостью.";"Прибрежный лес";"Бесплатная";"881461507";
"14";"Ива свердловская извилистая";"Salix babylonica «Sverdlovskaja izvilistaja 2»";"265de117-348d-4f3e-b289-0a9be4329340";"Прибрежный лес";"Апрель";"Для этого растения, как и для всей группы свердловских извилистых ив, характерна извилистая форма оливковых побегов - откуда и название. Листья удлиненные, ланцетовидные, тоже закрученные. Отличить от других родственниц эту иву проще всего весной по желто-розоватым мужским серёжкам. Среди группы свердловских извилистых ив вторая - самая высокая, до 12 м, с пирамидальной ажурной кроной.";"Прибрежный лес";"Бесплатная";"881461523";
"15";"Можжевельник обыкновенный плоский";"Juniperus communis Hornibrooki";"5a0d5f86-0dcb-4d0a-8dcb-4d475f9141ad";"Северный ландшафт, горная тундра";"Апрель - май";"Можжевельник обыкновенный - древний вид с очень широким ареалом: его можно встретить в умеренной зоне Евразии и Северной Америки, а также в горных регионах Непала, Пакистана и на севере Африки. От других хвойных можжевельник легко отличить по хвое, которая и не плоская (как у пихт и сосен), и не трёхгранная (как у ели), а будто согнутая в желобок. Кроме того, можжевельник обладает характерным запахом.";"Северный ландшафт, горная тундра";"Бесплатная";"881461549";
"16";"Можжевельник казацкий мужские клоны";"Juniperus sabina Mas";"cde4f263-c934-46f3-9c3a-db01244e1f87";"Степь";"Апрель - май

";"В отличие от обыкновенного, можжевельник казацкий встречается только в степных и горных районах России. И различить эти виды тоже довольно просто: можжевельник казацкий растёт как небольшой кустарник, его хвоя несколько короче (около 7мм) и отходит от побегов под более острым углом. Характерная особенность можжевельника казацкого - резкий запах, возникающий при растирании хвои.";"Степь";"Бесплатная";"881461579";
"17";"Кедровый стланник";"Pinus pumila";"97ee7b57-0057-4339-a428-0e5ec1534902";"Северный ландшафт, влажная тундра";"Июнь";"Ботаники называют кедровый стланик сосной стланиковой, но в отличие от большинства сосен он редко выглядит как дерево, а если и вырастает деревом, то совсем невысоким (до 5 метров). Кедровый стланик чаще выглядит как куст, а порой его ветви укореняются, образуя сплошные труднопроходимые заросли. Учёные называют его жизненную форму отдельным термином «полукуст-полудерево», и он наиболее точно описывает это растение.";"Северный ландшафт, влажная тундра";"Бесплатная";"881461665";
"18";"Береза карликовая";"Betula nana";"ab9adea6-a315-4371-9471-48947481e709";"Северный ландшафт, влажная тундра";"Апрель";"Если присмотреться к серёжкам, почкам и коре карликовой берёзы, то становится понятно, почему ботаники относят её к тому же роду, что и большие березу повислую и пушистую. Однако листья её сильно отличаются и скорее напоминают монетки: они округлые, ажурные по краю, величиной с рублёвую монету и сидят на коротких черешках, почти плотно прилегая к бархатистым веточкам.";"Северный ландшафт, влажная тундра";"Бесплатная";"881461683";
